Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
1,Luka Garza\luka-garza-1,SR,2020-21,F,Iowa,Big Ten,31,975,281,508,.553,237,408,44,100,.440,141,199,.709,93,178,271,54,21,50,47,70,747,.553,.581,.440,.709
2,Max Abmas\max-abmas-1,SO,2020-21,G,Oral Roberts,Summit,28,1037,225,471,.478,124,238,101,233,.433,138,155,.890,12,78,90,107,41,5,65,62,689,.478,.521,.433,.890
3,Corey Kispert\corey-kispert-1,SR,2020-21,F,Gonzaga,WCC,30,937,198,370,.535,111,178,87,192,.453,85,96,.885,29,122,151,51,26,12,40,49,568,.535,.624,.453,.885
4,Cade Cunningham\cade-cunningham-1,FR,2020-21,G,Oklahoma State,Big 12,27,956,175,400,.438,113,245,62,155,.400,132,156,.846,19,148,167,94,43,21,109,67,544,.438,.461,.400,.846
5,Kevin Obanor\kevin-obanor-1,JR,2020-21,F,Oral Roberts,Summit,28,894,178,354,.503,122,233,56,121,.463,112,128,.875,61,209,270,30,15,19,61,78,524,.503,.524,.463,.875
6,Quentin Grimes\quentin-grimes-1,JR,2020-21,G,Houston,AAC,29,947,169,414,.408,70,174,99,240,.413,85,109,.780,48,121,169,57,40,8,53,65,522,.408,.402,.413,.780
7,Iverson Molinar\iverson-molinar-1,SO,2020-21,G,Mississippi State,SEC,30,979,183,383,.478,139,282,44,101,.436,90,112,.804,10,102,112,69,28,3,66,54,500,.478,.493,.436,.804
8,Jared Butler\jared-butler-1,JR,2020-21,G,Baylor,Big 12,28,846,165,353,.467,96,182,69,171,.404,64,84,.762,12,79,91,133,57,11,82,68,463,.467,.527,.404,.762
9,Greg Parham\greg-parham-1,SR,2020-21,G,Virginia Military Institute,Southern,25,848,167,345,.484,103,198,64,147,.435,62,78,.795,18,80,98,101,27,2,55,46,460,.484,.520,.435,.795
10,Joe Wieskamp\joe-wieskamp-1,JR,2020-21,G,Iowa,Big Ten,31,907,161,328,.491,88,170,73,158,.462,65,96,.677,37,169,206,53,29,10,43,48,460,.491,.518,.462,.677
11,Marcus Zegarowski\marcus-zegarowski-1,JR,2020-21,G,Creighton,Big East,29,974,162,349,.464,82,159,80,190,.421,55,70,.786,9,96,105,125,37,2,62,55,459,.464,.516,.421,.786
12,Miles McBride\miles-mcbride-1,SO,2020-21,G,West Virginia,Big 12,29,991,156,363,.430,110,252,46,111,.414,100,123,.813,34,79,113,141,55,9,53,49,458,.430,.437,.414,.813
13,Quincy Olivari\quincy-olivari-1,SO,2020-21,G,Rice,CUSA,28,805,151,370,.408,63,155,88,215,.409,65,79,.823,22,125,147,28,7,0,49,44,455,.408,.406,.409,.823
14,Darius McGhee\darius-mcghee-1,JR,2020-21,G,Liberty,A-Sun,29,876,157,347,.452,62,114,95,233,.408,41,48,.854,12,115,127,61,24,12,38,41,450,.452,.544,.408,.854
15,Javonte Smart\javonte-smart-1,JR,2020-21,G,Louisiana State,SEC,28,997,162,352,.460,92,178,70,174,.402,54,63,.857,8,95,103,111,35,3,73,46,448,.460,.517,.402,.857
16,Cedric Russell\cedric-russell-1,SR,2020-21,G,Louisiana,Sun Belt,26,874,152,363,.419,76,173,76,190,.400,66,86,.767,11,73,84,30,14,0,66,48,446,.419,.439,.400,.767
17,Chris Duarte\chris-duarte-1,SR,2020-21,G,Oregon,Pac-12,26,886,160,301,.532,99,157,61,144,.424,64,79,.810,19,101,120,69,49,21,59,36,445,.532,.631,.424,.810
18,Moses Wright\moses-wright-1,SR,2020-21,F,Georgia Tech,ACC,25,882,175,330,.530,163,301,12,29,.414,73,111,.658,79,122,201,57,37,41,41,66,435,.530,.542,.414,.658
19,Alex Barcello\alex-barcello-1,SR,2020-21,G,Brigham Young,WCC,27,865,149,285,.523,96,174,53,111,.477,83,97,.856,13,114,127,117,26,0,55,43,434,.523,.552,.477,.856
