Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
1,Sydney Agudah\sydney-agudah-1,FR,2019-20,G,Little Rock,Sun Belt,1,1,1,1,1.000,0,0,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.000,,1.000,
2,Fardaws Aimaq\fardaws-aimaq-1,SO,2020-21,F,Utah Valley,WAC,13,393,66,131,.504,65,130,1,1,1.000,51,78,.654,52,145,197,20,4,23,45,35,184,.504,.500,1.000,.654
3,Theo Akwuba\theo-akwuba-1,JR,2020-21,C,Louisiana,Sun Belt,17,481,71,116,.612,70,115,1,1,1.000,46,62,.742,64,83,147,22,5,38,35,47,189,.612,.609,1.000,.742
4,Justin Amadi\justin-amadi-1,FR,2020-21,F,James Madison,CAA,10,250,29,50,.580,26,47,3,3,1.000,15,28,.536,19,39,58,9,11,3,8,27,76,.580,.553,1.000,.536
5,Ryan Anders\ryan-anders-5,SO,2019-20,F,Central Florida,AAC,2,5,1,1,1.000,0,0,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,3,1.000,,1.000,
6,Damani Applewhite\damani-applewhite-1,SR,2019-20,F,South Carolina State,MEAC,16,536,78,146,.534,77,145,1,1,1.000,85,119,.714,46,61,107,12,7,9,21,26,242,.534,.531,1.000,.714
7,Jeffery Armstrong\jeffery-armstrong-1,,2020-21,G,Southern Mississippi,CUSA,7,14,1,1,1.000,0,0,1,1,1.000,1,3,.333,1,2,3,0,2,0,0,2,4,1.000,,1.000,.333
8,Akol Arop\akol-arop-1,FR,2019-20,F,Nebraska,Big Ten,15,83,9,13,.692,8,12,1,1,1.000,1,5,.200,8,9,17,1,5,3,1,15,20,.692,.667,1.000,.200
9,Charlie Bagin\charlie-bagin-1,JR,2019-20,G,Princeton,Ivy,6,14,1,1,1.000,0,0,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,1.000,,1.000,
10,Derek Ballard\derek-ballardjr-1,SO,2019-20,F,Eastern Michigan,MAC,9,29,4,5,.800,3,4,1,1,1.000,1,1,1.000,2,4,6,0,1,2,0,6,10,.800,.750,1.000,1.000
11,Ezekiel Balogun\ezekiel-balogun-1,SR,2019-20,F,North Florida,A-Sun,12,84,5,12,.417,2,9,3,3,1.000,8,12,.667,9,19,28,1,0,6,2,13,21,.417,.222,1.000,.667
12,Codey Bates\codey-bates-1,FR,2019-20,G,Austin Peay,OVC,2,6,1,1,1.000,0,0,1,1,1.000,1,2,.500,0,0,0,1,0,0,0,1,4,1.000,,1.000,.500
13,Jalani Bell\jalani-bell-1,FR,2020-21,G,Jackson State,SWAC,2,3,3,4,.750,1,2,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,.750,.500,1.000,
14,Brandon Bradsher\brandon-bradsher-1,JR,2019-20,G,Loyola (MD),Patriot,3,5,2,2,1.000,1,1,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,5,1.000,1.000,1.000,
15,Tamir Bynum\tamir-bynum-1,SO,2019-20,G,Prairie View,SWAC,5,14,1,2,.500,0,1,1,1,1.000,0,0,,1,2,3,0,0,1,1,2,3,.500,.000,1.000,
16,Mark Calleja\mark-calleja-1,SO,2019-20,G,South Florida,AAC,2,3,1,1,1.000,0,0,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,1.000,,1.000,
17,Ountae Campbell\ountae-campbell-1,SR,2019-20,G,Texas-El Paso,CUSA,1,4,1,2,.500,0,1,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,.500,.000,1.000,
18,Dylan Cardwell\dylan-cardwell-1,FR,2020-21,C,Auburn,SEC,18,277,32,45,.711,31,44,1,1,1.000,11,18,.611,31,33,64,6,8,9,28,40,76,.711,.705,1.000,.611
