Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
1,Luka Garza\luka-garza-1,SR,2020-21,F,Iowa,Big Ten,31,975,281,508,.553,237,408,44,100,.440,141,199,.709,93,178,271,54,21,50,47,70,747,.553,.581,.440,.709
2,Tony Carr\tony-carr-1,SO,2017-18,G,Penn State,Big Ten,37,1308,245,600,.408,157,397,88,203,.433,147,184,.799,33,150,183,186,30,11,85,68,725,.408,.395,.433,.799
3,Carsen Edwards\carsen-edwards-1,SO,2017-18,G,Purdue,Big Ten,37,1092,229,500,.458,132,261,97,239,.406,131,159,.824,13,129,142,104,42,8,64,65,686,.458,.506,.406,.824
4,Cassius Winston\cassius-winston-1,SR,2019-20,G,Michigan State,Big Ten,30,980,185,413,.448,112,244,73,169,.432,115,135,.852,6,69,75,176,36,1,96,59,558,.448,.459,.432,.852
5,Kevin Huerter\kevin-huerter-1,SO,2017-18,G,Maryland,Big Ten,32,1101,162,322,.503,89,147,73,175,.417,75,99,.758,31,130,161,108,20,21,80,76,472,.503,.605,.417,.758
6,Joe Wieskamp\joe-wieskamp-1,JR,2020-21,G,Iowa,Big Ten,31,907,161,328,.491,88,170,73,158,.462,65,96,.677,37,169,206,53,29,10,43,48,460,.491,.518,.462,.677
7,Shep Garner\shep-garner-1,SR,2017-18,G,Penn State,Big Ten,39,1279,146,329,.444,26,52,120,277,.433,34,41,.829,8,72,80,52,35,4,47,83,446,.444,.500,.433,.829
8,Jordan Bohannon\jordan-bohannon-1,SO,2017-18,G,Iowa,Big Ten,33,1050,137,324,.423,41,101,96,223,.430,75,83,.904,4,70,74,178,22,0,68,59,445,.423,.406,.430,.904
9,Dakota Mathias\dakota-mathias-1,SR,2017-18,G,Purdue,Big Ten,37,1161,151,320,.472,55,114,96,206,.466,47,57,.825,5,145,150,146,46,9,54,64,445,.472,.482,.466,.825
10,Cassius Winston\cassius-winston-1,SO,2017-18,G,Michigan State,Big Ten,35,985,143,282,.507,68,131,75,151,.497,81,90,.900,7,111,118,241,23,2,87,69,442,.507,.519,.497,.900
11,Trent Frazier\trent-fraizer-1,SO,2018-19,G,Illinois,Big Ten,32,975,148,360,.411,68,163,80,197,.406,63,83,.759,10,65,75,82,44,1,65,74,439,.411,.417,.406,.759
12,Kaleb Wesson\kaleb-wesson-1,JR,2019-20,F,Ohio State,Big Ten,31,915,136,306,.444,91,200,45,106,.425,117,160,.731,73,215,288,60,23,31,77,96,434,.444,.455,.425,.731
13,Ryan Cline\ryan-cline-1,SR,2018-19,G,Purdue,Big Ten,36,1219,149,352,.423,38,86,111,266,.417,23,33,.697,6,98,104,120,23,4,42,56,432,.423,.442,.417,.697
14,Joshua Langford\joshua-langford-1,SO,2017-18,G,Michigan State,Big Ten,35,946,152,354,.429,108,245,44,109,.404,62,73,.849,28,77,105,54,13,3,52,83,410,.429,.441,.404,.849
15,Joe Wieskamp\joe-wieskamp-1,FR,2018-19,G,Iowa,Big Ten,35,971,125,256,.488,66,117,59,139,.424,79,103,.767,48,124,172,39,31,16,38,65,388,.488,.564,.424,.767
16,Daniel Oturu\daniel-oturu-1,FR,2018-19,C,Minnesota,Big Ten,35,834,152,276,.551,151,274,1,2,.500,72,117,.615,88,158,246,19,16,46,53,95,377,.551,.551,.500,.615
17,Gabe Kalscheur\gabe-kalscheur-1,FR,2018-19,G,Minnesota,Big Ten,36,1106,118,283,.417,41,95,77,188,.410,48,64,.750,21,50,71,41,28,12,37,97,361,.417,.432,.410,.750
18,Matt McQuaid\matt-mcquaid-1,SR,2018-19,G,Michigan State,Big Ten,36,1128,117,271,.432,44,98,73,173,.422,47,58,.810,24,84,108,74,21,4,35,75,354,.432,.449,.422,.810
19,Donta Scott\donta-scott-1,SO,2020-21,F,Maryland,Big Ten,31,940,118,237,.498,69,125,49,112,.438,55,83,.663,32,150,182,63,22,25,46,50,340,.498,.552,.438,.663
20,Isaiah Moss\isaiah-moss-1,JR,2018-19,G,Iowa,Big Ten,35,845,110,276,.399,62,162,48,114,.421,53,67,.791,22,78,100,62,32,7,49,55,321,.399,.383,.421,.791
