Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
1,Theo Akwuba\theo-akwuba-1,JR,2020-21,C,Louisiana,Sun Belt,17,481,71,116,.612,70,115,1,1,1.000,46,62,.742,64,83,147,22,5,38,35,47,189,.612,.609,1.000,.742
2,Dylan Carl\dylan-carl-1,SR,2020-21,F,Purdue-Fort Wayne,Horizon,20,377,54,76,.711,53,75,1,1,1.000,16,40,.400,22,43,65,35,10,13,33,29,125,.711,.707,1.000,.400
3,Nick Finke\nick-finke-1,SR,2020-21,F,Army,Patriot,14,343,35,56,.625,34,55,1,1,1.000,12,31,.387,27,69,96,31,11,0,19,15,83,.625,.618,1.000,.387
4,Dusan Mahorcic\dusan-mahorcic-1,JR,2020-21,F,Illinois State,MVC,18,441,63,114,.553,62,113,1,1,1.000,35,67,.522,43,82,125,21,17,5,34,29,162,.553,.549,1.000,.522
5,Onyeka Okongwu\onyeka-okongwu-1,FR,2019-20,F,Southern California,Pac-12,16,519,92,151,.609,91,150,1,1,1.000,57,78,.731,54,80,134,18,18,38,36,49,242,.609,.607,1.000,.731
6,Seth Pinkney\seth-pinkney-1,SO,2020-21,C,Quinnipiac,MAAC,17,431,51,65,.785,50,64,1,1,1.000,40,62,.645,22,66,88,10,12,38,10,40,143,.785,.781,1.000,.645
7,Neemias Queta\neemias-queta-1,SO,2019-20,C,Utah State,MWC,16,432,81,132,.614,80,131,1,1,1.000,50,72,.694,33,98,131,30,5,27,46,36,213,.614,.611,1.000,.694
8,Douglas Wilson\doug-wilson-3,FR,2019-20,F,South Dakota State,Summit,14,423,124,193,.642,123,192,1,1,1.000,41,61,.672,35,48,83,33,11,20,35,44,290,.642,.641,1.000,.672
9,Eden Ewing\eden-ewing-1,SR,2019-20,F,Texas Southern,SWAC,18,441,77,129,.597,75,126,2,3,.667,53,88,.602,30,58,88,15,8,17,35,60,209,.597,.595,.667,.602
10,Tony Lewis\tony-lewis-3,SR,2019-20,F,Texas A&M-Corpus Christi,Southland,20,352,56,98,.571,52,92,4,6,.667,35,47,.745,30,91,121,9,4,8,29,53,151,.571,.565,.667,.745
11,Elijah Burns\elijah-burns-1,SR,2019-20,F,Siena,MAAC,19,477,84,132,.636,74,116,10,16,.625,87,98,.888,31,79,110,14,10,4,41,48,265,.636,.638,.625,.888
12,Chuck Hannah\chuck-hannah-1,SO,2019-20,F,Elon,CAA,18,357,39,58,.672,34,50,5,8,.625,17,23,.739,28,27,55,19,10,7,15,55,100,.672,.680,.625,.739
13,Tanner Holden\tanner-holden-1,FR,2019-20,G,Wright State,Horizon,18,527,82,131,.626,71,113,11,18,.611,53,85,.624,34,77,111,35,25,5,29,48,228,.626,.628,.611,.624
14,Romani Hansen\romani-hansen-1,SR,2019-20,F,Albany (NY),AEC,16,336,42,73,.575,33,58,9,15,.600,15,28,.536,32,80,112,9,5,13,11,32,108,.575,.569,.600,.536
15,Jy'lan Washington\jylan-washington-1,SR,2019-20,F,Tennessee State,OVC,15,351,55,90,.611,36,57,19,33,.576,32,45,.711,23,57,80,15,8,12,28,37,161,.611,.632,.576,.711
16,Joshua Lusane\joshua-lusane-1,SO,2020-21,F,Campbell,Big South,15,332,45,79,.570,32,56,13,23,.565,13,18,.722,17,70,87,42,6,9,21,38,116,.570,.571,.565,.722
17,Caleb Lohner\caleb-lohner-1,FR,2020-21,F,Brigham Young,WCC,13,333,40,67,.597,26,42,14,25,.560,22,35,.629,20,71,91,13,8,1,15,23,116,.597,.619,.560,.629
18,Branden Carlson\branden-carlson-1,SO,2020-21,C,Utah,Pac-12,19,444,75,136,.551,67,121,8,15,.533,22,34,.647,21,73,94,11,1,36,19,44,180,.551,.554,.533,.647
19,Cody Carlson\cody-carlson-1,SR,2020-21,F,Weber State,Big Sky,15,300,53,91,.582,45,76,8,15,.533,15,32,.469,14,62,76,12,5,7,18,32,129,.582,.592,.533,.469
20,Mike Sixsmith\mike-sixsmith-1,FR,2020-21,G,Sacred Heart,NEC,16,419,40,70,.571,12,17,28,53,.528,18,19,.947,5,38,43,38,14,5,18,27,126,.571,.706,.528,.947
21,Isiah Small\isiah-small-1,SR,2020-21,F,Texas State,Sun Belt,15,443,72,121,.595,54,86,18,35,.514,33,42,.786,14,59,73,25,15,14,15,26,195,.595,.628,.514,.786
22,Derrick Carter-Hollinger\derrick-carter-hollinger-1,FR,2019-20,F,Montana,Big Sky,20,474,57,95,.600,49,79,8,16,.500,12,17,.706,22,80,102,27,7,18,23,62,134,.600,.620,.500,.706
23,Ben Drake\ben-drake-1,SR,2019-20,F,Presbyterian,Big South,18,320,56,94,.596,53,88,3,6,.500,36,50,.720,34,65,99,10,4,6,23,35,151,.596,.602,.500,.720
24,John Fulkerson\john-fulkerson-1,JR,2019-20,F,Tennessee,SEC,18,570,93,161,.578,92,159,1,2,.500,85,110,.773,37,73,110,20,15,15,33,54,272,.578,.579,.500,.773
25,James Glisson\james-glissoniii-1,SO,2020-21,F,Mercer,Southern,14,312,48,80,.600,45,74,3,6,.500,12,15,.800,23,35,58,8,8,7,12,18,111,.600,.608,.500,.800
26,Brad Greene\brad-greene-1,SR,2019-20,C,UC-Irvine,Big West,16,374,67,117,.573,66,115,1,2,.500,21,33,.636,53,94,147,14,7,27,22,45,156,.573,.574,.500,.636
27,Theo John\theo-john-2,SR,2020-21,F,Marquette,Big East,19,497,60,107,.561,59,105,1,2,.500,40,52,.769,25,57,82,24,13,26,38,53,161,.561,.562,.500,.769
28,Shamarkus Kennedy\shamarkus-kennedy-1,SR,2019-20,F,McNeese State,Southland,20,654,152,219,.694,151,217,1,2,.500,81,103,.786,72,162,234,28,16,53,45,46,386,.694,.696,.500,.786
29,Justin McCall\justin-mccall-1,SR,2020-21,G,Cal State Bakersfield,Big West,18,432,77,129,.597,75,125,2,4,.500,15,26,.577,32,32,64,14,9,13,19,29,171,.597,.600,.500,.577
30,Dylan Painter\dylan-painter-1,JR,2019-20,F,Delaware,CAA,18,376,56,92,.609,54,88,2,4,.500,53,70,.757,40,71,111,18,4,15,31,40,167,.609,.614,.500,.757
31,Vonnie Patterson\vonnie-patterson-1,SR,2020-21,F,East Tennessee State,Southern,15,349,33,55,.600,25,39,8,16,.500,18,28,.643,26,25,51,19,11,4,18,33,92,.600,.641,.500,.643
32,Filip Petrusev\filip-petrusev-1,SO,2019-20,F,Gonzaga,WCC,16,407,108,187,.578,107,185,1,2,.500,79,125,.632,34,87,121,24,10,4,34,28,296,.578,.578,.500,.632
33,John Pettway\john-pettway-1,JR,2019-20,G,South Alabama,Sun Belt,16,384,43,78,.551,42,76,1,2,.500,26,39,.667,8,18,26,20,31,3,29,36,113,.551,.553,.500,.667
34,Kareem Reid\kareem-reid-2,FR,2019-20,F,Gardner-Webb,Big South,18,312,58,82,.707,57,80,1,2,.500,9,26,.346,39,34,73,6,12,28,18,48,126,.707,.713,.500,.346
35,Tommy Rutherford\tommy-rutherford-1,SR,2019-20,F,UC-Irvine,Big West,16,333,63,92,.685,62,90,1,2,.500,31,52,.596,42,39,81,13,3,8,19,22,158,.685,.689,.500,.596
36,Jayden Saddler\jayden-saddler-1,JR,2020-21,G,Southern,SWAC,13,350,61,92,.663,58,86,3,6,.500,20,37,.541,14,27,41,72,23,2,32,39,145,.663,.674,.500,.541
37,Mwani Wilkinson\mwani-wilkinson-1,FR,2020-21,F,Louisiana State,SEC,16,303,29,35,.829,27,31,2,4,.500,10,13,.769,22,31,53,12,10,10,7,39,70,.829,.871,.500,.769
38,Zion Williams\zion-williams-2,FR,2019-20,G,Missouri-Kansas City,WAC,15,315,25,40,.625,21,32,4,8,.500,9,18,.500,12,22,34,22,9,2,18,35,63,.625,.656,.500,.500
39,Ryan Young\ryan-young-2,SO,2020-21,G,Northwestern,Big Ten,19,371,56,96,.583,55,94,1,2,.500,29,41,.707,28,56,84,24,10,8,28,39,142,.583,.585,.500,.707
40,Andrew Taylor\andrew-taylor-2,SO,2020-21,G,Marshall,CUSA,14,470,82,142,.577,54,85,28,57,.491,15,21,.714,10,68,78,71,23,2,29,23,207,.577,.635,.491,.714
41,Tyson Ward\tyson-ward-1,SR,2019-20,G,North Dakota State,Summit,16,517,120,204,.588,100,163,20,41,.488,46,64,.719,30,81,111,47,11,10,39,37,306,.588,.613,.488,.719
42,Miryne Thomas\miryne-thomas-1,JR,2020-21,F,Ball State,MAC,15,306,42,76,.553,20,30,22,46,.478,18,26,.692,15,56,71,18,7,3,35,43,124,.553,.667,.478,.692
43,Jared Samuelson\jared-samuelson-1,SR,2019-20,F,Montana,Big Sky,20,380,86,142,.606,67,102,19,40,.475,16,20,.800,15,51,66,6,9,8,16,48,207,.606,.657,.475,.800
44,Grant Basile\grant-basile-1,JR,2020-21,F,Wright State,Horizon,20,547,112,185,.605,95,149,17,36,.472,50,71,.704,40,96,136,37,10,31,31,39,291,.605,.638,.472,.704
45,JT Shumate\jt-shumate-1,JR,2020-21,F,Toledo,MAC,18,505,78,125,.624,62,91,16,34,.471,40,46,.870,31,43,74,29,8,27,15,43,212,.624,.681,.471,.870
46,Jawaun Daniels\jawaun-daniels-1,JR,2020-21,G,Prairie View,SWAC,13,401,87,148,.588,65,101,22,47,.468,18,27,.667,20,72,92,14,11,6,21,23,214,.588,.644,.468,.667
47,Jalen Slawson\jalen-slawson-1,JR,2020-21,F,Furman,Southern,15,383,49,87,.563,38,63,11,24,.458,29,40,.725,22,58,80,39,16,17,34,49,138,.563,.603,.458,.725
48,Preston Santos\preston-santos-1,FR,2019-20,G,Massachusetts,A-10,18,398,46,79,.582,30,44,16,35,.457,10,16,.625,20,36,56,19,14,15,10,50,118,.582,.682,.457,.625
49,Drew Timme\drew-timme-1,SO,2020-21,F,Gonzaga,WCC,15,413,106,156,.679,101,145,5,11,.455,63,92,.685,31,77,108,28,9,13,24,31,280,.679,.697,.455,.685
50,Mike Peake\mike-peake-1,SO,2020-21,F,Austin Peay,OVC,20,470,83,133,.624,70,104,13,29,.448,34,48,.708,41,61,102,13,17,7,23,47,213,.624,.673,.448,.708
51,Tervell Beck\tervell-beck-1,SR,2020-21,F,Kent State,MAC,18,472,75,134,.560,63,107,12,27,.444,44,54,.815,39,49,88,16,7,4,38,41,206,.560,.589,.444,.815
52,Killian Tillie\killian-tillie-1,SR,2019-20,F,Gonzaga,WCC,13,332,76,131,.580,56,86,20,45,.444,24,32,.750,15,53,68,26,9,14,16,35,196,.580,.651,.444,.750
53,Yanni Wetzell\yanni-wetzell-1,SR,2019-20,F,San Diego State,MWC,18,523,82,137,.599,78,128,4,9,.444,35,55,.636,43,72,115,27,13,11,40,48,203,.599,.609,.444,.636
54,Connor Withers\connor-withers-1,FR,2019-20,F,Massachusetts-Lowell,AEC,16,502,64,116,.552,52,89,12,27,.444,25,31,.806,27,74,101,37,21,17,24,48,165,.552,.584,.444,.806
55,Kyle Young\kyle-young-3,SR,2020-21,F,Ohio State,Big Ten,19,521,66,115,.574,58,97,8,18,.444,30,33,.909,34,70,104,26,6,12,8,52,170,.574,.598,.444,.909
